run_key,model_type,feature_set,mean_auc,std_auc,oof_auc,n_features
catboost__eng_no_time,catboost,eng_no_time,0.7520757756455845,0.0078052084030715355,0.7518896600304241,144
catboost__eng_no_time_knn,catboost,eng_no_time_knn,0.7516825105526908,0.006895987027392749,0.7514833354603143,144
catboost__eng_no_time_median,catboost,eng_no_time_median,0.7506198047446484,0.007218200076029986,0.7504966144469623,144
catboost__raw_no_time_knn,catboost,raw_no_time_knn,0.750538907547593,0.008681565862160873,0.7503791134557645,23
catboost__raw_no_time_median,catboost,raw_no_time_median,0.7504507192435319,0.007817835070077163,0.7502108373735136,23
catboost__raw_no_time,catboost,raw_no_time,0.7498957598398956,0.009007606188204943,0.7497642147189434,23
lightgbm__eng_no_time_knn,lightgbm,eng_no_time_knn,0.7440286830789884,0.007335358757576179,0.7438665268989404,144
lightgbm__eng_no_time,lightgbm,eng_no_time,0.7420992246101875,0.007436982932490382,0.7419463491811682,144
lightgbm__eng_no_time_median,lightgbm,eng_no_time_median,0.7414927511291542,0.007217939647966942,0.7413117967688589,144
lightgbm__raw_no_time_median,lightgbm,raw_no_time_median,0.7400442201458028,0.0070315871536430615,0.7398851529361222,23
lightgbm__raw_no_time,lightgbm,raw_no_time,0.7399901086696165,0.007293620187741559,0.7397313910994112,23
xgboost__eng_no_time_knn,xgboost,eng_no_time_knn,0.7397209750770048,0.0074910891980178515,0.739531083365207,144
xgboost__eng_no_time_median,xgboost,eng_no_time_median,0.7388020462112509,0.007458416245974676,0.7385941776698456,144
xgboost__eng_no_time,xgboost,eng_no_time,0.7380860684417223,0.00733785630427349,0.7379704614050173,144
lightgbm__raw_no_time_knn,lightgbm,raw_no_time_knn,0.7374632597287065,0.007799995773545748,0.7374198241187998,23
xgboost__raw_no_time_knn,xgboost,raw_no_time_knn,0.7370894680958304,0.009644373969644328,0.7369692509144625,23
xgboost__raw_no_time,xgboost,raw_no_time,0.7363550936031444,0.009858492571610915,0.7360571445166215,23
xgboost__raw_no_time_median,xgboost,raw_no_time_median,0.7357848306454721,0.00944090159555488,0.7356233147081631,23
